download_date,region,fregname,totalposts,subregion,fsubregname,subposts
09302017,Aswan,aswan,3320,Abou Simbel,abou-simbel,22
09302017,Aswan,aswan,3320,Abou al-Reish,abou-al-reish,57
09302017,Aswan,aswan,3320,Aswan City,aswan-city,2321
09302017,Aswan,aswan,3320,Basiliah,basiliah,6
09302017,Aswan,aswan,3320,Daraw,daraw,58
09302017,Aswan,aswan,3320,Edfu,edfu,237
09302017,Aswan,aswan,3320,Kalabsha,kalabsha,20
09302017,Aswan,aswan,3320,Kom Ombo,kom-ombo,491
09302017,Aswan,aswan,3320,Nasr al-Noba,nasr-al-noba,41
09302017,Aswan,aswan,3320,Rdesiah,rdesiah,9
09302017,Aswan,aswan,3320,Sahara,sahara,44
09302017,Aswan,aswan,3320,Sebaeiah,sebaeiah,14
09302017,Asyut,asyut,15566,Abnub,abnub,152
09302017,Asyut,asyut,15566,Abu Teeg,abu-teeg,215
09302017,Asyut,asyut,15566,Asyut City,asyut-city,12262
09302017,Asyut,asyut,15566,Badari,badari,172
09302017,Asyut,asyut,15566,Dairut,dairut,576
09302017,Asyut,asyut,15566,Fateh,fateh,94
09302017,Asyut,asyut,15566,Ghanayem,ghanayem,69
09302017,Asyut,asyut,15566,Manfalut,manfalut,561
09302017,Asyut,asyut,15566,New Assiut,new-assiut,994
09302017,Asyut,asyut,15566,Qusiya,qusiya,306
09302017,Asyut,asyut,15566,Sahel Selim,sahel-selim,110
09302017,Asyut,asyut,15566,Sedfa,sedfa,55
09302017,Luxor,luxor,3005,Armant,armant,99
09302017,Luxor,luxor,3005,Bayadeya,bayadeya,42
09302017,Luxor,luxor,3005,Isna,isna,250
09302017,Luxor,luxor,3005,Luxor City,luxor-city,2360
09302017,Luxor,luxor,3005,Qurna,qurna,49
09302017,Luxor,luxor,3005,Tod,tod,121
09302017,Luxor,luxor,3005,Zinnia,zinnia,84
09302017,Alexandria,alexandria,269917,Abu Qir,abu-qir,2560
09302017,Alexandria,alexandria,269917,Agami,agami,23273
09302017,Alexandria,alexandria,269917,Al Hadrah,al-hadrah,610
09302017,Alexandria,alexandria,269917,Al Ibrahimiyyah,al-ibrahimiyyah,2632
09302017,Alexandria,alexandria,269917,Alexandria,alexandria,135773
09302017,Alexandria,alexandria,269917,Amreya,amreya,1209
09302017,Alexandria,alexandria,269917,Asafra,asafra,6703
09302017,Alexandria,alexandria,269917,Awayed,awayed,2497
09302017,Alexandria,alexandria,269917,Bacchus,bacchus,1626
09302017,Alexandria,alexandria,269917,Bolkly,bolkly,1002
09302017,Alexandria,alexandria,269917,Borg al-Arab,borg-al-arab,4864
09302017,Alexandria,alexandria,269917,Camp Caesar,camp-caesar,728
09302017,Alexandria,alexandria,269917,Cleopatra,cleopatra,641
09302017,Alexandria,alexandria,269917,Dekheila,dekheila,651
09302017,Alexandria,alexandria,269917,Dhahria,dhahria,1030
09302017,Alexandria,alexandria,269917,Fleming,fleming,4622
09302017,Alexandria,alexandria,269917,Glim,glim,1133
09302017,Alexandria,alexandria,269917,Gomrok,gomrok,834
09302017,Alexandria,alexandria,269917,Kafr Abdo,kafr-abdo,2097
09302017,Alexandria,alexandria,269917,Laurent,laurent,4258
09302017,Alexandria,alexandria,269917,Maamoura,maamoura,2125
09302017,Alexandria,alexandria,269917,Mandara,mandara,5083
09302017,Alexandria,alexandria,269917,Miami,miami,8505
09302017,Alexandria,alexandria,269917,Moharam Bik,moharam-bik,5462
09302017,Alexandria,alexandria,269917,Montazah,montazah,1696
09302017,Alexandria,alexandria,269917,Nakheel,nakheel,8555
09302017,Alexandria,alexandria,269917,Nozha,nozha,625
09302017,Alexandria,alexandria,269917,Raml Station,raml-station,689
09302017,Alexandria,alexandria,269917,Saba Pasha,saba-pasha,669
09302017,Alexandria,alexandria,269917,San Stefano,san-stefano,1547
09302017,Alexandria,alexandria,269917,Schutz,schutz,1900
09302017,Alexandria,alexandria,269917,Seyouf,seyouf,5388
09302017,Alexandria,alexandria,269917,Sidi Beshr,sidi-beshr,10733
09302017,Alexandria,alexandria,269917,Sidi Gaber,sidi-gaber,2731
09302017,Alexandria,alexandria,269917,Smoha,smoha,7478
09302017,Alexandria,alexandria,269917,Sporting,sporting,947
09302017,Alexandria,alexandria,269917,Stanley,stanley,1087
09302017,Alexandria,alexandria,269917,Tosson,tosson,557
09302017,Alexandria,alexandria,269917,Victoria,victoria,1369
09302017,Alexandria,alexandria,269917,Wardian,wardian,721
09302017,Ismailia,ismailia,24038,Abu Swear,abu-swear,102
09302017,Ismailia,ismailia,24038,Fayed,fayed,708
09302017,Ismailia,ismailia,24038,Ismailia City,ismailia-city,19827
09302017,Ismailia,ismailia,24038,Kantara East,kantara-east,287
09302017,Ismailia,ismailia,24038,Kantara West,kantara-west,339
09302017,Ismailia,ismailia,24038,Qassaseen,qassaseen,111
09302017,Ismailia,ismailia,24038,Tal al-Kebeer,tal-al-kebeer,2664
09302017,Red Sea,red-sea,22475,Hurghada,hurghada,20982
09302017,Red Sea,red-sea,22475,Marsa Alam,marsa-alam,198
09302017,Red Sea,red-sea,22475,Qusair,qusair,150
09302017,Red Sea,red-sea,22475,Ras Gharib,ras-gharib,206
09302017,Red Sea,red-sea,22475,Safaga,safaga,392
09302017,Red Sea,red-sea,22475,Sahl Hasheesh,sahl-hasheesh,546
09302017,Red Sea,red-sea,22475,Shalateen,shalateen,1
09302017,Beheira,beheira,12260,Abou Homs,abou-homs,284
09302017,Beheira,beheira,12260,Abuu al-Matamer,abuu-al-matamer,365
09302017,Beheira,beheira,12260,Badr,badr,576
09302017,Beheira,beheira,12260,Damanhour,damanhour,5265
09302017,Beheira,beheira,12260,Delengat,delengat,246
09302017,Beheira,beheira,12260,Edko,edko,334
09302017,Beheira,beheira,12260,Etay al-Barud,etay-al-barud,753
09302017,Beheira,beheira,12260,Hosh Essa,hosh-essa,245
09302017,Beheira,beheira,12260,Kafr al-Dawwar,kafr-al-dawwar,1956
09302017,Beheira,beheira,12260,Kom Hamadah,kom-hamadah,619
09302017,Beheira,beheira,12260,Mahmoudiyah,mahmoudiyah,211
09302017,Beheira,beheira,12260,Nubariyah,nubariyah,257
09302017,Beheira,beheira,12260,Rahmaniya,rahmaniya,52
09302017,Beheira,beheira,12260,Rashid,rashid,285
09302017,Beheira,beheira,12260,Shubrakhit,shubrakhit,181
09302017,Beheira,beheira,12260,Wadi al-Natrun,wadi-al-natrun,631
09302017,Giza,giza,367528,6th of October,6th-of-october,97320
09302017,Giza,giza,367528,Abu Rawash,abu-rawash,431
09302017,Giza,giza,367528,Agouza,agouza,2348
09302017,Giza,giza,367528,Azizia,azizia,648
09302017,Giza,giza,367528,Badrasheen,badrasheen,1413
09302017,Giza,giza,367528,Baragil,baragil,1002
09302017,Giza,giza,367528,Bashtil,bashtil,845
09302017,Giza,giza,367528,Boulaq Dakrour,boulaq-dakrour,4320
09302017,Giza,giza,367528,Dahab Island and Coldair,dahab-island-and-coldair,2900
09302017,Giza,giza,367528,Dahshur,dahshur,284
09302017,Giza,giza,367528,Dokki,dokki,10999
09302017,Giza,giza,367528,Faisal,faisal,28051
09302017,Giza,giza,367528,Giza District,giza-district,46303
09302017,Giza,giza,367528,Hadayek al-Ahram,hadayek-al-ahram,16362
09302017,Giza,giza,367528,Haram,haram,47334
09302017,Giza,giza,367528,Haraneya,haraneya,286
09302017,Giza,giza,367528,Hawamdeya,hawamdeya,1572
09302017,Giza,giza,367528,Imbaba,imbaba,5691
09302017,Giza,giza,367528,Kafr Tohormos,kafr-tohormos,1417
